funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.014032
Epoka 20/2000 | Strata MSE: 0.012183
Epoka 30/2000 | Strata MSE: 0.011768
Epoka 40/2000 | Strata MSE: 0.010565
Epoka 50/2000 | Strata MSE: 0.010966
Epoka 60/2000 | Strata MSE: 0.010699
Epoka 70/2000 | Strata MSE: 0.010459
Epoka 80/2000 | Strata MSE: 0.010178
Epoka 90/2000 | Strata MSE: 0.010199
Epoka 100/2000 | Strata MSE: 0.010109
Epoka 110/2000 | Strata MSE: 0.009661
Epoka 120/2000 | Strata MSE: 0.009552
Epoka 130/2000 | Strata MSE: 0.009319
Epoka 140/2000 | Strata MSE: 0.009115
Epoka 150/2000 | Strata MSE: 0.009421
Epoka 160/2000 | Strata MSE: 0.009056
Epoka 170/2000 | Strata MSE: 0.008657
Epoka 180/2000 | Strata MSE: 0.008706
Epoka 190/2000 | Strata MSE: 0.008451
Epoka 200/2000 | Strata MSE: 0.008285
Epoka 210/2000 | Strata MSE: 0.008553
Epoka 220/2000 | Strata MSE: 0.008407
Epoka 230/2000 | Strata MSE: 0.008232
Epoka 240/2000 | Strata MSE: 0.008059
Epoka 250/2000 | Strata MSE: 0.008151
Epoka 260/2000 | Strata MSE: 0.008208
Epoka 270/2000 | Strata MSE: 0.007869
Epoka 280/2000 | Strata MSE: 0.007844
Epoka 290/2000 | Strata MSE: 0.007738
Epoka 300/2000 | Strata MSE: 0.007733
Epoka 310/2000 | Strata MSE: 0.007724
Epoka 320/2000 | Strata MSE: 0.008002
Epoka 330/2000 | Strata MSE: 0.007700
Epoka 340/2000 | Strata MSE: 0.007664
Epoka 350/2000 | Strata MSE: 0.007692
Epoka 360/2000 | Strata MSE: 0.007707
Epoka 370/2000 | Strata MSE: 0.007707
Epoka 380/2000 | Strata MSE: 0.007791
Epoka 390/2000 | Strata MSE: 0.007817
Epoka 400/2000 | Strata MSE: 0.007597
Epoka 410/2000 | Strata MSE: 0.007554
Epoka 420/2000 | Strata MSE: 0.007536
Epoka 430/2000 | Strata MSE: 0.007590
Epoka 440/2000 | Strata MSE: 0.007531
Epoka 450/2000 | Strata MSE: 0.007500
Epoka 460/2000 | Strata MSE: 0.007417
Epoka 470/2000 | Strata MSE: 0.007454
Epoka 480/2000 | Strata MSE: 0.007481
Epoka 490/2000 | Strata MSE: 0.007414
Epoka 500/2000 | Strata MSE: 0.007452
Epoka 510/2000 | Strata MSE: 0.007719
Epoka 520/2000 | Strata MSE: 0.007385
Epoka 530/2000 | Strata MSE: 0.007347
Epoka 540/2000 | Strata MSE: 0.007439
Epoka 550/2000 | Strata MSE: 0.007480
Epoka 560/2000 | Strata MSE: 0.007420
Epoka 570/2000 | Strata MSE: 0.007333
Epoka 580/2000 | Strata MSE: 0.007437
Epoka 590/2000 | Strata MSE: 0.007379
Epoka 600/2000 | Strata MSE: 0.007370
Epoka 610/2000 | Strata MSE: 0.007318
Epoka 620/2000 | Strata MSE: 0.007324
Epoka 630/2000 | Strata MSE: 0.007368
Epoka 640/2000 | Strata MSE: 0.007394
Epoka 650/2000 | Strata MSE: 0.007283
Epoka 660/2000 | Strata MSE: 0.007287
Epoka 670/2000 | Strata MSE: 0.007302
Epoka 680/2000 | Strata MSE: 0.007309
Epoka 690/2000 | Strata MSE: 0.007375
Epoka 700/2000 | Strata MSE: 0.007304
Epoka 710/2000 | Strata MSE: 0.007247
Epoka 720/2000 | Strata MSE: 0.007335
Epoka 730/2000 | Strata MSE: 0.007241
Epoka 740/2000 | Strata MSE: 0.007304
